Company Name,Founded,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,aws,excel,statistics,predictive_model
"Parkland Center for Clinical Innovation (PCCI)
4.4",2012,IT Services,"Looking for your next opportunity? If so, choose PCCI and discover what a meaningful job feels like. Whether you work directly with patients or use your talent to support our care, you’ll be part of a team that’s providing valuable health services to Dallas County residents. And here, you’ll have the opportunity to put all your skills to work, and the support to grow and advance in your job and your field. Step into a career that will make a substantial difference for our patients—and for you. We blend cultures, talents, and experience into an exemplary health and hospital system. Parkland has earned distinction as one of America’s Best Hospitals by U.S News and World Report every year since 1994.

Primary Purpose :As an experienced data analytic scientist, will be responsible for coordinating specific phases of data analytics (extraction, analysis, manipulation, synthesis, summary, validation, testing, and maintenance) with the objective of creating and building predictive models and algorithms for clinical and operational initiatives as identified by PCCI.

Minimum Specifications:

Education : Must have a Master's Degree in Statistics, Applied Mathematics, Informatics, Computer Science, Operations Research, or a related field.

Experience : Must have three (3) years of experience in analysis of business related data and information systems. Must have research and development experience on predictive modeling, data mining and management, and other advanced analytics in the development of business intelligence and technology transfer. Must have experience developing data mining solutions using various statistical software packages (Ex: R, Python, etc.) Prefer experience working with healthcare organizations and healthcare applications. Prefer experience working within a complex, academic healthcare organization.

Equivalent Education and/or Experience : May have an equivalent combination of education and experience to substitute for both the education and the experience requirements.

Certification/Registration/Licensure : None Required

Tests for Placement : None

Skills or Special Abilities: Must be able to demonstrate an expert knowledge of statistical methods, concepts, practices, procedures, and their application. Must have a strong understanding of healthcare inpatient and outpatient operations and regulatory requirements. Must be able to demonstrate a comprehensive level of knowledge with regard to healthcare software design and development. Must be able to demonstrate expert level critical thinking skills to solve challenging advanced analytics problems and provide solid solutions. Must demonstrate comprehensive knowledge of : IS operational policies, procedures, and standards. Application features and their integration capabilities .Business process analysis and redesign, including benefits engineering . Statistical methods, concepts, practices, and procedures used for health outcome research. High deduction skills : must be able to use fundamental analysis and reasonable judgments to deduce answers for complex issues. Must have a strong commitment to customer service. Must have demonstrated experience and strong commitment to benefits engineering and performance metrics. Must be able to demonstrate excellent written and verbal communication skills, including presentation skills. Must understand and engage audience to achieve the best results. Must be flexible and be able to prioritize and reprioritize projects in line with Parkland Center for Clinical Innovation's leaders to meet deadline and deliverables. Must demonstrate exceptional abilities for high level comprehension of projects and environment as well as remain extremely detail oriented for tasks and responsibilities. Must be independent and reliable with the ability to drive initiatives to completion. Must have knowledge of word processing, spreadsheet, data management, and statistical analysis software. Must demonstrate excellent knowledge and experience using different software including STATA, SPSS, SAS, Python, and others performing data cleaning, manipulation, processing, management, and statistical analysis.

Parkland Health and Hospital System prohibits discrimination based on age (40 or over), race, color, religion, sex (including pregnancy), sexual orientation, gender identity, gender expression, genetic information, disability, national origin, marital status, political belief, or veteran status.

Nearest Major Market: Dallas
Nearest Secondary Market: Fort Worth
Job Segment:
Business Process, Management",Sr Data-Applied Scientist-PCCI,"Dallas, TX",4.4,Unknown / Non-Applicable,$12K-$112K (Glassdoor est.),Information Technology,1 to 50 Employees,Nonprofit Organization,12,112,62.0,"Parkland Center for Clinical Innovation (PCCI)
", TX,8,1,0,0,0,1,1,1
"Publishers Clearing House LLC
3.3",1953,Advertising & Marketing,"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",Data Scientist,"Jericho, NY",3.3,$500 million to $1 billion (USD),$12K-$112K (Glassdoor est.),Business Services,501 to 1000 Employees,Company - Private,12,112,62.0,"Publishers Clearing House LLC
", NY,67,1,0,0,1,1,1,1
"Cane Bay Partners VI, LLLP
4.4",2009,Consulting,"Position summary: *
This Risk Analytics Manager position is responsible for mining, organizing, and analyzing complex business data, presenting conclusions and making actionable recommendations to Sr. and Executive Leadership. Utilize analytical skills and appropriate analytics and data mining tools to routinely monitor and streamline business processes in a wide range of disciplines in the specialty finance industry including application processing, automated underwriting and decisioning, operations, and marketing. Provide recommendations for strategy and process improvement in the daily operations of the business.
Essential Functions: *
· Analyzes and interprets risk data using a variety of techniques, ranging from simple data aggregation to complex data mining. Documents findings, presents and makes data-driven and analytics-based recommendations to Sr. Management.

· Compiles reports, charts and tables based on established analytical methods.

· Develops data models to meet the needs of the organizations information systems.

· Oversees project lifecycle of data studies or any other projects related to risk or analytics in the operational areas of the business (fulfillment, servicing, and collections).

· Analyze the underwriting waterfall and seek opportunities to optimize the waterfall and

· Make recommendations for necessary changes on projects that come from other departments.

· Develop and monitor forecasting models; complete monthly/quarterly trend analysis; conduct on-going sensitivity analysis to optimize business recommendations.

· Make business recommendations for monitoring the business risk (fraud and credit) and changing underwriting policies to mitigate such risks.

· Build and monitor predictive models in marketing and loan acquisition stages of the business and develop strategies to deploy those models.

· Effectively Leads both people and high-impact large-scale projects in the essential area of risk and marketing analytics.

· Introduce new predictive modeling and data mining technology to the company that add material business value

· Coach and mentor other employees in the analytics team and also those that are directly reporting to the role by way of Job-Specific Knowledge and Problem Solving and also in other competencies such as influencing and communications and serves as an exemplary role model in those critical competencies.
Skills: *
· *Active Listening* - Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.

· *Writing* - Communicating effectively in writing as appropriate for the needs of the audience.

· *Critical Thinking* - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.

· *Credit Scoring & Modeling* - Understanding of predictive modeling and credit scoring methodologies.

· *Analytical* - Synthesizes complex or diverse information; Collects and researches data; Uses intuition, business understanding and experience to complement data; Designs work flows and procedures.

· *Problem Solving* - Identifies and resolves problems in a timely manner; Gathers and analyzes information skillfully; Develops alternative solutions; Works well in group problem solving situations.
*Leadership *- Demonstrates a proven ability to Lead, Mentor and Coach Staff.
· *Business Acumen* - Understands business implications of decisions; Displays orientation to profitability; Demonstrates knowledge of market and competition; Aligns work with strategic goals.

· *Strategic Thinking* - Develops strategies to achieve organizational goals; Understands organization's strengths & weaknesses; Analyzes market and competition; Identifies external threats and opportunities; Adapts strategy to changing conditions.

· *Reading Comprehension* - Understanding written sentences and paragraphs in work related documents.

· *Social Perceptiveness* - Being aware of others' reactions and understanding why they react as they do.
Experience and Education: *
· Bachelor's Degree in Finance, Economics, Computer Science, Mathematics, or Statistics or a similar discipline. Graduate degree preferred.

· 5+ years independently mining, organizing, analyzing and interpreting data

· 5+ years experience in the financial services industry preferred
Technical Skills: *
· Data Processing & Statistical Analysis languages preferred: proficiency in SAS is required R and Python are a Plus

· Microsoft Office suite of applications
Physical Requirements: *
· Must be able to stand and sit for long periods of time, talking, hearing constantly.

· Occasionally lift up to 10 lbs. on occasion

· Must be able to sit in front of computer monitor (s) daily

· Sitting and or standing for long periods of time.

· Noise level: moderate noise level daily in an office atmosphere.

Job Type: Full-time

Pay: $0.00 per hour

Experience:
risk management: 5 years (Preferred)
management: 3 years (Preferred)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Schedule:
Monday to Friday
Work Remotely:
Temporarily due to COVID-19",Risk Analytics Manager,"Saint Croix, VI",4.4,Less than $1 million (USD),$12K-$112K (Glassdoor est.),Business Services,1 to 50 Employees,Company - Private,12,112,62.0,"Cane Bay Partners VI, LLLP
", VI,11,1,0,0,0,0,1,1
"Wisconsin Physicians Service Insurance Corporation
3.0",1946,Insurance Carriers,"Data Engineer
U.S. citizenship is required for this position due to Department of Defense restrictions.

Role Summary:

Data Engineers design, develop, implement, and support platforms providing secured access to large datasets. This position works with business and technology teams to understand data sources and transform data using best practices in data modeling, ETL processes, SQL, MarkLogic, XQuery/JQuery and analytical, cognitive technologies into actionable business information.

In this role you will:

Improve/maintain/create various data loading/data cleaning packages to ensure data integrity and speed.
Work with engineering, data science and product management teams to build and manage a wide variety of data sets.
Build and support tools and services for the management and productization of our data.
Build and curate data models, along with connected ingestion and harmonization scripts.
Work with BI and Data Architects to build application extensions adherent to standards.
Author analytics tools for business partners and data scientists to support operational optimization and product innovation.
Work closely with Product and Executive leadership to identify and prioritize backlog items to support data infrastructure demands.
Author and extend modular, re-usable data pipeline tools that connect disparate source systems into canonical formats.
Extract, transform and load data using SQL and NoSQL technologies.
Champion SDLC processes and improvements by building and supporting an automated DevOps landscape.
Utilize test-driven development to achieve comprehensive quality coverage.

This role could be a good fit if you:

Are an innovative, forward-thinking, and self-motivated individual with a strong work ethic and the ability to thrive in a fast-paced environment.
Are driven individual with strong written and verbal communication skills, excellent analytical / problem solving abilities.
Have strong technical aptitude and customer service skills with an eagerness to learn business processes and needs.
Have the ability to execute day-to-day responsibilities with strong attention to detail, quality, and thorough follow-through with stakeholders.
Have the ability to work both independently and in conjunction with clients, management, peers, and project resources.
Demonstrate the ability to effectively communicate in technical and non-technical terms, at all levels, both within and outside the organization.
Are able to design, architect, and maintain a data warehouse that supports a rapidly changing product with our analytics and data service teams.

You’ll benefit from this experience by:

Developing new processes and procedures to enhance data engineering practices.
Evaluating new industry data engineering technologies and practices.
Working within a focused, energetic, and agile organization
Taking a data leadership role on highly complex projects and provide guidance to less experienced staff.
Ensuring completeness of all development artifacts, including technical business requirements, technical design, completed code, and implementation.
Training and assisting business users or clients in creating critical data access points
Working in an environment that serves our Nation’s military, veterans, Guard and Reserves along with their families.

You need to have:

U.S. citizenship is required for this position due to Department of Defense restrictions.
Bachelor's Degree in related field or equivalent post high school and/or related work experience

We also prefer:

Development experience working with third party data ingestion.
Experience working within existing frameworks as well as building brand new applications.
Experience building ETL data pipelines in a programming language like Python or Scala.
Experience with Data Harmonization.
Experience designing, building, and maintaining a data warehouse that seamlessly stitches together data from production databases and external APIs to serve consumers
Excellent ability to understand the needs of and collaborate with stakeholders in other functions, especially analytics teams.
Strong data modelling skills with solid knowledge of various industry standards such as dimensional modelling, star schemas etc.
Proficiency in writing performant SQL to work with large data volumes.
Experience designing and operating very large Data Warehouses.
Experience working with SQL for data exploration, debugging, and performant data access.
Experience with developing dashboards and reports on data from sales, call center, and custom software applications.
Experience with designing and implementing canonical models.
Experience with leveraging MarkLogic search APIs to build RESTful services.
Any automated code/data deployments to MarkLogic.
Data hub framework (DHF) experience.

Your team:

The Data Platform Modernization team exists to break down barriers between our employees and the data that connects us to our mission. As a part of the Emerging Technology and Innovation group, you will be dedicated to developing and scaling proven disruptive technologies into WPS architecture to drive digital maturity in alignment with SSG’s core mission as the “agent of change”.

People: Provide a democratized data platform to empower our people to dig into their data quickly and resolve claims processing issues.
Profitability: Design a flexible data platform so time can be spent on value added work instead of expensive data munging overhead
Competitiveness: Minimize time to Insight with fast data pipelines and processing to produce results faster than any competing claims handling service.
Execution: Make the data platform understandable so customer can find quality issues and improve our execution.

Compensation and Benefits

Eligible for annual Performance Bonus Program
401(k) with dollar-per-dollar match up to 6% of salary
Competitive paid time off
Health and dental insurance start DAY 1
Vision insurance
Flexible spending, dependent care, and health savings accounts
Short- and long-term disability, group life insurance
Dress for your day
Innovative professional and cognitive development programs

Who We Are

WPS Health Solutions is an innovator in health insurance and a worldwide leader in claims administration, serving millions of beneficiaries in the United States and abroad.

Founded in 1946, WPS offers health insurance plans for individuals, families, and seniors, and group plans for small and large businesses. We are a world-class claims processor and program administrator for the government’s Medicare program. And we manage benefits for millions of active-duty and retired military personnel and their families.

WPS has been named one of the World's Most Ethical Companies® by the Ethisphere® Institute for 10 years in a row.

Learn more about WPS.

Our Purpose and Values

Our purpose is to make healthcare easier for those we serve. Click Here

Our values – Customer Focused, Individual Responsibility, Mutual Respect, and Driven & Passionate – are the core of who we are and how we conduct business every day.

Health Insurance

WPS Health Insurance offers high-quality health insurance plans for individuals and families, Medicare supplement plans for seniors, and group health plans for businesses of every size.

http://wpshealthsolutions.com/business-units/wpshi.shtml

Military and Veterans Health

WPS Military and Veterans Health administers claims and provides customer service and related activities for the U.S. Department of Defense and the U.S. Department of Veterans Affairs and their beneficiaries.

http://wpshealthsolutions.com/business-units/wpsmvh.shtml

Government Health Administrators

WPS Government Health Administrators manages Medicare Part A and Part B benefits for more than 7 million beneficiaries. As one of the largest contractors for the Centers for Medicare & Medicare Services, we’ve served Medicare beneficiaries and their health care providers since 1966.

http://wpshealthsolutions.com/business-units/wpsgha.shtml

Arise

Arise Health Plan provides innovative and high-value health plans to groups and individuals in eastern and northeastern Wisconsin. With our quality Wisconsin-based customer service, Arise offers health care expertise with a personal touch.

http://wpshealthsolutions.com/business-units/arise.shtml

EPIC Specialty Benefits

EPIC Specialty Benefits provides businesses group insurance products that cover:

Life
Disability
Dental
Vision
Voluntary benefits

http://wpshealthsolutions.com/business-units/epicsb.shtml

Stay connected: Sign-up for Job Alerts

FOLLOW US!

Facebook

Twitter

LinkedIn",Data Engineer,"Madison, WI",3.0,$2 to $5 billion (USD),$12K-$112K (Glassdoor est.),Insurance,1001 to 5000 Employees,Company - Private,12,112,62.0,"Wisconsin Physicians Service Insurance Corporation
", WI,74,1,0,0,0,1,0,0
"Chenega Corporation
2.7",1974,Aerospace & Defense,"The Data Engineer will work with product owners and data stewards to deliver high quality technical solutions in response to business requirements. You will be counted on to provide your peers with technical expertise that will offer solutions for difficult programming problems.

Duties and Responsibilities:

SQL Server Integration Services (SSIS) including UI and custom code features.
Write or create stored procedures, SQL scripts, SSIS packages that can be used to:
Move data from source databases to target databases
Clean / Condition data
Convert or transform data
Reconcile and confirm converted data
Find data errors
Validate data to business rules
Ability to examine existing ETL scripts and track data back to
source
SQL Server administration, tuning, and workbench.
Work with business experts to understand data and complete
data mappings.
Focus on the development of extract, transform, and load (ETL) jobs currently using Microsoft SQL, Server, and SSIS.
The environment currently supports hundreds of related ETL jobs that move data between 30 different source systems and between multiple classifications.
Part of the challenge as a data engineer will be to find scalable and efficient coding solutions that plug into this extensible system in order to add more data to the Enterprise data store.
Other duties as assigned

Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)

Bachelor’s Degree in Statistics, Mathematics, Computer Science or another quantitative field
Equivalent years of experience in lieu of degree
4 years of relevant experience with the following software / tools:
Experience with Microsoft SQL
Prior experience supporting IC/DoD
The existing data warehouse is built on Microsoft SQL hosted on Amazon Web Services (AWS), so experience developing solutions that scale well in these environments is a plus.
Active Top-Secret Clearance with ability to obtain SCI

Knowledge, Skills and Abilities:

Ability to work independently and yet be effective within a team setting
Must be capable of managing multiple efforts with time related constraints in a fast-paced contracting environment
Demonstrated ability to effectively communicate and collaborate with diverse internal and external stakeholder groups and individuals
Friendly presence, helpful attitude, good interpersonal skills, and ability to work well with others.
Excellent skills in Microsoft Word, Excel, and other Office applications
Proficient with Microsoft Office Applications, and experience working in a home office setting as well as the ability to train end users on frequently asked technical issues.
Ability to provide technical assistance and support over the phone; good phone skills, professional demeanor, previous customer service experience strongly desired.

Good problem-solving skills; ability to visualize a problem/situation and think abstractly to solve it

Physical Demands: (The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.)

While performing the duties of this Job, the employee is regularly required to sit and talk or hear. The employee is frequently required to walk; use hands to finger, handle, or feel and reach with hands and arms. The employee is occasionally required to stand; climb or balance and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision.

Work Environment: (The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.)

The employee will normally work in a temperature-controlled office environment, with frequent exposure to electronic office equipment.
During visits to areas of operations, may be exposed to extreme cold or hot weather conditions. Is occasionally exposed to fumes or airborne particles, toxic or caustic chemicals, and loud noise.

Chenega Corporation and family of companies is an EOE.

Equal Opportunity Employer/Veterans/Disabled

Native preference under PL 93-638.

We participate in the E-Verify Employment Verification Program.

Recruiter Jonas Patterson

Job Posting May 4, 2020, 1:51:27 PM",Data Engineer,"Springfield, VA",2.7,$500 million to $1 billion (USD),$12K-$112K (Glassdoor est.),Aerospace & Defense,5001 to 10000 Employees,Company - Private,12,112,62.0,"Chenega Corporation
", VA,46,0,0,0,1,1,1,0
"AllianceRx Walgreens Prime
2.7",2017,Biotech & Pharmaceuticals,"The Data Analyst - 340b (340B Program Analyst) is responsible for independently performing a variety of data analytics from internal and external resources to support the 340B program. Will apply tactics to identified business problems and existing processes in order to assist with decision-making and to increase sales, profit, market share and achieve program goals.

Job Responsibilities
Conduct data analysis to determine root causes and the feasibility of solution options; prepare charts, tables, and other exhibits for use in presentations
Perform client specific gross profitability analysis and make recommendations to improve program performance; track profitability over time, identifying root causes of adverse trends, and make recommendations to improve program’s financial results
Analyze corresponding data to effectively recommend system and operational procedure changes, enhancements, development of functional specifications or interface opportunities with costs and or return on investment summarized
Use industry standard analytical approaches and technology to transform data into actionable business insights; collaborate closely with business partners to provide business decision support and analytics
Develop and maintain a thorough understanding of business processes pertaining to all aspects of the 340B program
Other responsibilities as judgment or necessity dictate

City

Deerfield

Business unit

Corporate

State

Illinois

Required qualifications, skills and experience

Bachelor’s degree in Healthcare, Business Administration, or related area of study; or equivalent combination of education and/or relevant work experience
3 years’ work experience in product development and process improvement

Additional Qualifications
Experience in diagnosing, isolating, and resolving complex issues and recommending and implementing strategies to resolve problems
Experience developing ways of accomplishing goals with little or no supervision, depending on oneself to complete objectives and determining when escalation of issues is necessary
Experience developing and delivering presentations to various audience levels within an organization
Proficient in Microsoft Office Suite with advanced level skill in Excel and intermediate level in Word and PowerPoint
Excellent verbal and written communication skills; ability to manage multiple projects with accuracy and to meet deadlines and deliverables as requested
Ability to travel up to 10% of the time for business purpose

Desired qualifications, skills and experience

Experience with data extraction, data mining, data acquisition, and data profiling
Experience in performing data analysis and data management activities; knowledge of statistical concepts
Experience with the 340B program and support systems
Hospital and/or health system pharmacy administration experience",Data Analyst - 340b,"Deerfield, IL",2.7,Unknown / Non-Applicable,$12K-$112K (Glassdoor est.),Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Private,12,112,62.0,"AllianceRx Walgreens Prime
", IL,3,0,0,0,0,1,0,0
"AllianceRx Walgreens Prime
2.7",2017,Biotech & Pharmaceuticals,"The Sales Data Analyst - 340b (340B Program Analyst) is responsible for independently performing a variety of data analytics from internal and external resources to support the 340B program. Will apply tactics to identified business problems and existing processes in order to assist with decision-making and to increase sales, profit, market share and achieve program goals.

Job Responsibilities
Conduct data analysis to determine root causes and the feasibility of solution options; prepare charts, tables, and other exhibits for use in presentations
Perform client specific gross profitability analysis and make recommendations to improve program performance; track profitability over time, identifying root causes of adverse trends, and make recommendations to improve program’s financial results
Analyze corresponding data to effectively recommend system and operational procedure changes, enhancements, development of functional specifications or interface opportunities with costs and or return on investment summarized
Use industry standard analytical approaches and technology to transform data into actionable business insights; collaborate closely with business partners to provide business decision support and analytics
Develop and maintain a thorough understanding of business processes pertaining to all aspects of the 340B program
Other responsibilities as judgment or necessity dictate

City

Deerfield

Business unit

Corporate

State

Illinois

Required qualifications, skills and experience

Bachelor’s degree in Healthcare, Business Administration, or related area of study; or equivalent combination of education and/or relevant work experience
3 years’ work experience in product development and process improvement

Additional Qualifications
Experience in diagnosing, isolating, and resolving complex issues and recommending and implementing strategies to resolve problems
Experience developing ways of accomplishing goals with little or no supervision, depending on oneself to complete objectives and determining when escalation of issues is necessary
Experience developing and delivering presentations to various audience levels within an organization
Proficient in Microsoft Office Suite with advanced level skill in Excel and intermediate level in Word and PowerPoint
Excellent verbal and written communication skills; ability to manage multiple projects with accuracy and to meet deadlines and deliverables as requested
Ability to travel up to 10% of the time for business purpose

Desired qualifications, skills and experience

Experience with data extraction, data mining, data acquisition, and data profiling
Experience in performing data analysis and data management activities; knowledge of statistical concepts
Experience with the 340B program and support systems
Hospital and/or health system pharmacy administration experience",Sales Data Analyst 340b,"Deerfield, IL",2.7,Unknown / Non-Applicable,$12K-$112K (Glassdoor est.),Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Private,12,112,62.0,"AllianceRx Walgreens Prime
", IL,3,0,0,0,0,1,0,0
"Sampson Regional Medical Center
2.2",1949,Health Care Services & Hospitals,"Sampson Regional Medical Center is hiring a Medical Technologist to join the Laboratory team!

Description:
This is a full-time position. The selected candidate will perform various waived, moderately and highly complex hematologic, chemical, immunohematologic, immunologic/serologic, microscopic, and microbiological tests on specimens to obtain data for use in diagnosis or treatment of diseases. Additional responsibilities include obtaining specimens by capillary, arterial, and venous punctures; perform equipment maintenance, calibration, and troubleshooting; process histology specimens with additional training; participate in the quality assessment and improvement programs; provide guidance to technicians, assistants, phlebotomists and students; and provide services to patients of all age categories.

Requirements:

National certification as an MT/MLS by an approved agency is preferred
Individual must meet the Clinical Laboratory Improvement Act (CLIA) regulations for moderate and high complexity testing and must possess one of the following:
A bachelor's or associate's degree in medical technology or an appropriate biological, chemical, medical, or physical science from an accredited institution. This includes twelve (12) months of clinical laboratory training.
A satisfactory passing grade in a proficiency examination approved by HHS (HEW) and at least twelve (12) months of clinical laboratory experience.

Your Health, Our Passion!

IND123",Medical Technologist (MT) / Medical Laboratory Scientist (MLT),"Clinton, NC",2.2,$50 to $100 million (USD),$12K-$112K (Glassdoor est.),Health Care,501 to 1000 Employees,Hospital,12,112,62.0,"Sampson Regional Medical Center
", NC,71,0,0,0,0,0,0,0
"Metron, Inc.
3.0",-1,Electrical & Electronic Manufacturing,"Job Description:

Metron is seeking talented Data Scientists for a Data Science Support effort. You will be working directly with a government team to design, implement and analyze the results of data science solutions to the client’s machine learning and data mining problems. The ideal candidate will be a self-starter that enjoys working in teams and grappling with data problems from identifying data requirements to implementing analytics and machine learning solutions.

Required Qualifications:
BS or MS degree in Data Science, Data Analytics, Mathematics or related field
At least two years of industry experience is preferred
Experience in theoretical and practical background in statistical analysis, machine learning, predictive modeling, and/or optimization.
Generate hypotheses, design experiments, gather, review and transform data, and test the hypotheses using modern and statistically rigorous methodologies.
Experience developing in languages commonly used for data analysis such as Python, R, Julia, or SAS
Experience working with databases such as SQL or MongoDB.
Experience working with large-scale data sets.
Experience producing data visualizations.
Excellent verbal and written communications skills
US Citizenship required, successful candidates will be subject to a security investigation and must meet eligibility requirements for access to classified information.

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",Data Scientist,"Reston, VA",3.0,$25 to $50 million (USD),$12K-$112K (Glassdoor est.),Manufacturing,51 to 200 Employees,Company - Private,12,112,62.0,"Metron, Inc.
", VA,-1,1,0,0,0,1,0,1
"ArsenalBio
5.0",2019,Biotech & Pharmaceuticals,"ArsenalBio’s mission is to develop efficacious and safe cellular therapies for patients with chronic diseases, initially cancer. Our products are being designed to herald the transition of adoptive cell therapy from a hospital based treatment to outpatient therapy, like most other cancer treatments. Our people are our greatest asset, they bring scientific talents in molecular biology, immunology, pharmacology, protein chemistry, computational biology, automation, genome engineering, software and other fields to make the future happen now.

We are seeking an outstanding Scientist to lead research efforts in areas of immunology that are key to understanding cancer immunity, including T cell and NK cell biology, as well as components of the tumor microenvironment. Strongest consideration will be given to candidates with demonstrated expertise in molecular or synthetic immunology and whose research interests are relevant to the problem of T cell development, mechanisms of immunosuppression, and next generation adoptive cell therapies. The successful candidate is expected to effectively lead cross-functional teams
What You Will Do:
Lead and drive studies applying cellular immunology, gene editing, single-cell sequencing and mouse modeling to address T cell dysfunction
Discovery and evaluation of novel mechanisms of tumor resistance to innate and adaptive immunity
Design and execution of cell-based functional assays to select candidate molecules for clinical development
Design and execution of drug mechanism of action studies using in vivo models and ex vivo methods, such as cell sorting, multi-color flow cytometry, immunohistochemistry/immunofluorescence, primary immune cell assays and 3D/organoid/explant assays.
Drive scientific and technical innovation collaboratively with other members of the company
Identify new ways to make better CAR T cells and collaborate with other ArsenalBio teams to move novel product concept designs to the clinic.
Provide exceptional scientific leadership and mentor and cross-train other scientists and research associates

What You Will Bring:
PhD, MD, DVM, or MD/DVM-PhD with at least 3 years of relevant post-doctoral research experience in Immunology, Biochemistry or Molecular Biology.
A strong work ethic, a steadfast commitment to discovery research and a documented ability to initiate, drive and complete research projects, as evidenced by a strong publication record.
Ability to manage an independent research program and to lead a cross-functional research team
Outstanding written and oral communication skills and the ability to organize and communicate complex data sets in a clear and concise manner to key stakeholders from diverse backgrounds are essential
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status

To all recruitment agencies: ArsenalBio does not accept agency resumes. Please do not forward resumes to our jobs alias, or Arsenalbio employees. ArsenalBio is not responsible for any fees related to unsolicited resumes.",Scientist,"South San Francisco, CA",5.0,Unknown / Non-Applicable,$12K-$112K (Glassdoor est.),Biotech & Pharmaceuticals,51 to 200 Employees,Company - Private,12,112,62.0,"ArsenalBio
", CA,1,0,0,0,0,0,0,0
